City,Date,TempMin,TempMax,TempAvg,FeelsLike,Humidity,WindSpeed,Pressure,CloudCover,Rainfall,Weather
Lucknow,2026-03-17,29.2,36.2,32.2,34.2,64,5.8,1007,37,0,Mist
Lucknow,2026-03-18,30.3,37.3,33.3,35.3,61,7.8,1002,1,0,Haze
Lucknow,2026-03-19,29.6,36.6,32.6,34.6,76,5.9,1007,69,0,Clouds
Lucknow,2026-03-20,29.5,36.5,32.5,34.5,71,3.5,1017,24,0,Mist
Lucknow,2026-03-21,28.2,35.2,31.2,33.2,52,3.9,1012,11,0,Mist
Varanasi,2026-03-17,27.7,34.7,30.7,32.7,62,5.5,1010,28,0,Clouds
Varanasi,2026-03-18,32.3,39.3,35.3,37.3,83,6.8,1017,32,0,Haze
Varanasi,2026-03-19,32.3,39.3,35.3,37.3,52,3.8,1003,30,0,Clear
Varanasi,2026-03-20,30.7,37.7,33.7,35.7,77,7.1,1006,15,0,Haze
Varanasi,2026-03-21,29.4,36.4,32.4,34.4,55,6,1005,19,0,Clear
Prayagraj,2026-03-17,33.8,40.8,36.8,38.8,60,3.1,1003,35,0,Mist
Prayagraj,2026-03-18,34.1,41.1,37.1,39.1,70,2.4,1009,28,0,Haze
Prayagraj,2026-03-19,33.9,40.9,36.9,38.9,69,5.8,1009,64,0,Mist
Prayagraj,2026-03-20,29.9,36.9,32.9,34.9,74,5.6,1008,31,0,Haze
Prayagraj,2026-03-21,30.7,37.7,33.7,35.7,66,4.9,1014,26,0,Clear
Kanpur,2026-03-17,30.5,37.5,33.5,35.5,53,3.3,1017,36,9.7,Rain
Kanpur,2026-03-18,33.5,40.5,36.5,38.5,54,3.6,1014,40,8.5,Rain
Kanpur,2026-03-19,31.9,38.9,34.9,36.9,82,4.4,1000,19,0,Clear
Kanpur,2026-03-20,33.2,40.2,36.2,38.2,72,6.4,1004,46,0,Haze
Kanpur,2026-03-21,29.4,36.4,32.4,34.4,52,7.3,1015,65,0,Clear
Agra,2026-03-17,32.5,39.5,35.5,37.5,78,5.9,1009,29,0,Mist
Agra,2026-03-18,35.6,42.6,38.6,40.6,71,2.1,1014,23,8.3,Rain
Agra,2026-03-19,34.6,41.6,37.6,39.6,71,5.1,1000,3,0,Mist
Agra,2026-03-20,34.3,41.3,37.3,39.3,74,4,1009,67,0,Mist
Agra,2026-03-21,31.6,38.6,34.6,36.6,58,6.6,1010,55,0,Clouds
Ghaziabad,2026-03-17,29.9,36.9,32.9,34.9,58,4.5,1005,62,0,Clear
Ghaziabad,2026-03-18,34.8,41.8,37.8,39.8,64,4.5,1012,27,0,Mist
Ghaziabad,2026-03-19,30,37,33,35,74,2.6,1003,51,0,Clear
Ghaziabad,2026-03-20,32.7,39.7,35.7,37.7,84,6.4,1015,57,7.6,Rain
Ghaziabad,2026-03-21,29.6,36.6,32.6,34.6,81,6.4,1007,55,0,Mist
Meerut,2026-03-17,32.6,39.6,35.6,37.6,50,6.9,1000,65,0,Mist
Meerut,2026-03-18,30.3,37.3,33.3,35.3,69,4.5,1013,24,0,Clouds
Meerut,2026-03-19,31.2,38.2,34.2,36.2,68,5.4,1002,11,0,Haze
Meerut,2026-03-20,29.7,36.7,32.7,34.7,54,2.4,1013,60,0,Clear
Meerut,2026-03-21,30,37,33,35,54,2.9,1002,22,0,Haze
Aligarh,2026-03-17,33.6,40.6,36.6,38.6,68,7.1,1007,23,0,Haze
Aligarh,2026-03-18,29.1,36.1,32.1,34.1,68,5.3,1010,25,0,Haze
Aligarh,2026-03-19,29.3,36.3,32.3,34.3,60,2.6,1017,34,0,Clear
Aligarh,2026-03-20,30.3,37.3,33.3,35.3,73,4.6,1000,40,0,Haze
Aligarh,2026-03-21,34.5,41.5,37.5,39.5,74,6.3,1011,60,7.6,Rain
Bareilly,2026-03-17,32.7,39.7,35.7,37.7,66,2.1,1001,9,0,Clouds
Bareilly,2026-03-18,33.3,40.3,36.3,38.3,83,6.4,1002,58,0,Clouds
Bareilly,2026-03-19,28.2,35.2,31.2,33.2,79,7.3,1012,30,0,Clear
Bareilly,2026-03-20,33.4,40.4,36.4,38.4,74,7.5,1000,52,0,Clouds
Bareilly,2026-03-21,32.1,39.1,35.1,37.1,59,2.4,1003,1,0,Clouds
Noida,2026-03-17,34,41,37,39,80,3.5,1010,43,0,Haze
Noida,2026-03-18,30,37,33,35,65,5.7,1015,20,0,Haze
Noida,2026-03-19,31.5,38.5,34.5,36.5,61,3.7,1003,61,0,Clouds
Noida,2026-03-20,31.4,38.4,34.4,36.4,66,2.6,1001,19,11.6,Rain
Noida,2026-03-21,32.2,39.2,35.2,37.2,68,5.8,1012,5,0,Clouds
Moradabad,2026-03-17,30.7,37.7,33.7,35.7,62,6.6,1001,41,0,Haze
Moradabad,2026-03-18,33,40,36,38,66,7.3,1010,63,11.8,Rain
Moradabad,2026-03-19,30.9,37.9,33.9,35.9,73,7.4,1014,59,0,Haze
Moradabad,2026-03-20,32.6,39.6,35.6,37.6,75,7.9,1001,41,0,Haze
Moradabad,2026-03-21,32.9,39.9,35.9,37.9,81,5.4,1010,44,0,Clouds
Gorakhpur,2026-03-17,30.7,37.7,33.7,35.7,64,4.2,1006,11,0,Clouds
Gorakhpur,2026-03-18,30.1,37.1,33.1,35.1,67,6.8,1013,58,14.9,Rain
Gorakhpur,2026-03-19,29.7,36.7,32.7,34.7,53,6,1007,4,0,Haze
Gorakhpur,2026-03-20,31.9,38.9,34.9,36.9,67,7.7,1003,65,0,Mist
Gorakhpur,2026-03-21,33.8,40.8,36.8,38.8,60,2.7,1000,15,0,Clear
Jhansi,2026-03-17,34.3,41.3,37.3,39.3,58,6.1,1011,29,0,Clear
Jhansi,2026-03-18,37.3,44.3,40.3,42.3,56,5.7,1003,56,0,Haze
Jhansi,2026-03-19,32,39,35,37,58,4.2,1003,39,0,Mist
Jhansi,2026-03-20,36.8,43.8,39.8,41.8,65,3.9,1013,31,3.3,Rain
Jhansi,2026-03-21,35.5,42.5,38.5,40.5,66,7.1,1012,33,0,Clouds
Ayodhya,2026-03-17,29.9,36.9,32.9,34.9,76,6.1,1015,30,0,Haze
Ayodhya,2026-03-18,29.2,36.2,32.2,34.2,72,5.4,1003,61,0,Haze
Ayodhya,2026-03-19,33.5,40.5,36.5,38.5,53,7.8,1012,62,0,Clear
Ayodhya,2026-03-20,29.3,36.3,32.3,34.3,55,3,1000,24,11.7,Rain
Ayodhya,2026-03-21,31.1,38.1,34.1,36.1,61,3.8,1003,35,0,Clouds
Mathura,2026-03-17,32.3,39.3,35.3,37.3,54,5.6,1013,2,0,Mist
Mathura,2026-03-18,31.6,38.6,34.6,36.6,63,3.5,1010,34,0,Clear
Mathura,2026-03-19,33.7,40.7,36.7,38.7,55,6.2,1006,10,0,Clouds
Mathura,2026-03-20,35.5,42.5,38.5,40.5,61,7,1002,36,0,Haze
Mathura,2026-03-21,36.1,43.1,39.1,41.1,52,5.4,1006,28,0,Mist
Saharanpur,2026-03-17,28.9,35.9,31.9,33.9,82,6.6,1015,6,10.9,Rain
Saharanpur,2026-03-18,31.3,38.3,34.3,36.3,79,7.6,1010,44,1.7,Rain
Saharanpur,2026-03-19,32.4,39.4,35.4,37.4,71,4.4,1017,12,4,Rain
Saharanpur,2026-03-20,28.5,35.5,31.5,33.5,57,7,1004,7,0,Clear
Saharanpur,2026-03-21,30.2,37.2,33.2,35.2,63,2.6,1004,5,0,Clouds
Muzaffarnagar,2026-03-17,28.1,35.1,31.1,33.1,80,6,1007,35,0,Haze
Muzaffarnagar,2026-03-18,29.5,36.5,32.5,34.5,59,4.9,1001,36,0,Clear
Muzaffarnagar,2026-03-19,27.6,34.6,30.6,32.6,60,5.6,1005,9,0,Clear
Muzaffarnagar,2026-03-20,32.1,39.1,35.1,37.1,58,2.9,1003,44,0,Mist
